ArrayTaskID,beta,inertia_values,freq_bounds,failure_modes,k,N_nodes,K,gamma,tau,alpha,init_pert,sigma,mu
1,0.1,0.2,0.02,"[:dynamic, :dynamic]",4,100,2,1,1,0.7,line,1,0
2,0.5,0.2,0.02,"[:dynamic, :dynamic]",4,100,2,1,1,0.7,line,1,0
3,0.1,5.0,0.02,"[:dynamic, :dynamic]",4,100,2,1,1,0.7,line,1,0
4,0.5,5.0,0.02,"[:dynamic, :dynamic]",4,100,2,1,1,0.7,line,1,0
5,0.1,0.2,0.02,"[:dynamic, :dynamic]",10,100,2,1,1,0.7,line,1,0
6,0.5,0.2,0.02,"[:dynamic, :dynamic]",10,100,2,1,1,0.7,line,1,0
7,0.1,5.0,0.02,"[:dynamic, :dynamic]",10,100,2,1,1,0.7,line,1,0
8,0.5,5.0,0.02,"[:dynamic, :dynamic]",10,100,2,1,1,0.7,line,1,0
9,0.1,0.2,0.02,"[:dynamic, :dynamic]",4,100,2,1,1,0.7,line,1,0
10,0.5,0.2,0.02,"[:dynamic, :dynamic]",4,100,2,1,1,0.7,line,1,0
11,0.1,5.0,0.02,"[:dynamic, :dynamic]",4,100,2,1,1,0.7,line,1,0
12,0.5,5.0,0.02,"[:dynamic, :dynamic]",4,100,2,1,1,0.7,line,1,0
13,0.1,0.2,0.02,"[:dynamic, :dynamic]",10,100,2,1,1,0.7,line,1,0
14,0.5,0.2,0.02,"[:dynamic, :dynamic]",10,100,2,1,1,0.7,line,1,0
15,0.1,5.0,0.02,"[:dynamic, :dynamic]",10,100,2,1,1,0.7,line,1,0
16,0.5,5.0,0.02,"[:dynamic, :dynamic]",10,100,2,1,1,0.7,line,1,0
