initial,t,line,type,D,hittlimit
1,[0.1],[1],dynamic,0.01,false
1,[0.1],[1],static,0.01,false
2,[0.1],[2],dynamic,0.01,false
2,[0.1],[2],static,0.01,false
3,[0.1],[3],dynamic,0.01,false
3,[0.1],[3],static,0.01,false
4,[0.1],[4],dynamic,0.01,false
4,[0.1],[4],static,0.01,false
5,[0.1],[5],dynamic,0.01,false
5,[0.1],[5],static,0.01,false
6,[0.1],[6],dynamic,0.01,false
6,[0.1],[6],static,0.01,false
7,[0.1],[7],dynamic,0.01,false
7,[0.1],[7],static,0.01,false
8,[0.1],[8],dynamic,0.01,false
8,[0.1],[8],static,0.01,false
9,[0.1],[9],dynamic,0.01,false
9,[0.1],[9],static,0.01,false
10,[0.1],[10],dynamic,0.01,false
10,[0.1],[10],static,0.01,false
11,"[0.1, 0.1629594899780858]","[11, 12]",dynamic,0.01,false
11,"[0.1, 32.68927438115587]","[11, 12]",static,0.01,false
12,"[0.1, 0.1483393503561644]","[12, 11]",dynamic,0.01,false
12,"[0.1, 30.833629654836855]","[12, 11]",static,0.01,false
13,[0.1],[13],dynamic,0.01,false
13,[0.1],[13],static,0.01,false
14,[0.1],[14],dynamic,0.01,false
14,[0.1],[14],static,0.01,false
15,[0.1],[15],dynamic,0.01,false
15,[0.1],[15],static,0.01,false
16,[0.1],[16],dynamic,0.01,false
16,[0.1],[16],static,0.01,false
17,[0.1],[17],dynamic,0.01,false
17,[0.1],[17],static,0.01,false
18,[0.1],[18],dynamic,0.01,false
18,[0.1],[18],static,0.01,false
19,[0.1],[19],dynamic,0.01,false
19,[0.1],[19],static,0.01,false
20,[0.1],[20],dynamic,0.01,false
20,[0.1],[20],static,0.01,false
21,[0.1],[21],dynamic,0.01,false
21,[0.1],[21],static,0.01,false
22,"[0.1, 0.265078399005907, 0.3258992919713301]","[22, 11, 12]",dynamic,0.01,false
22,[0.1],[22],static,0.01,false
23,[0.1],[23],dynamic,0.01,false
23,[0.1],[23],static,0.01,false
24,[0.1],[24],dynamic,0.01,false
24,[0.1],[24],static,0.01,false
25,"[0.1, 0.3005587986245707, 0.35944569613219585]","[25, 11, 12]",dynamic,0.01,false
25,[0.1],[25],static,0.01,false
26,[0.1],[26],dynamic,0.01,false
26,[0.1],[26],static,0.01,false
27,"[0.1, 0.1419404255402084, 0.19223753015302766, 0.255369295520167, 0.27548292528392754, 0.36631702056970544, 0.4075609804992821, 0.4260209991708672, 0.46497628356245185, 0.46503162202463216, 0.4657455344504331, 0.4660954790365844, 0.4664660796115009, 0.4673294952361677, 0.47232848516278636, 0.4766995597066375, 0.5087186889530416, 0.5370769536323691, 0.5463005598291494, 0.5529089231994924, 0.5769975258709485, 0.5928683884414238, 0.6015104002573237, 0.609164115309589, 0.6131505595951117, 0.6268253865784877, 0.6306582330617361]","[27, 29, 11, 12, 37, 35, 71, 19, 16, 18, 2, 3, 4, 5, 60, 59, 26, 6, 73, 61, 44, 41, 39, 40, 57, 98, 100]",dynamic,0.01,true
27,[0.1],[27],static,0.01,false
28,[0.1],[28],dynamic,0.01,false
28,[0.1],[28],static,0.01,false
29,"[0.1, 0.14756099807751738, 0.20777937703678992, 0.27210042557087155, 0.27318816110981214, 0.3604056251833629, 0.4110434986660929, 0.4464534912707847, 0.4465992922069867, 0.44885414956408815, 0.45006678241742604, 0.45006773324496224, 0.45067639376405727, 0.5559483219983631, 0.612030463670094, 0.6390559504135526, 0.6549478396375541, 0.6614596404302074, 0.6868849953203422, 0.7272264559667969, 0.7445301221489192, 0.7477440403119999, 0.7493427834183063, 0.7527775765883659, 0.7620861306276527, 0.7807531382898512, 0.7807672327287366, 0.7826474234242526, 0.8611247462042195, 0.8829703091944301, 0.8987971196192392, 0.9324601764343357]","[29, 27, 11, 12, 37, 35, 19, 21, 22, 3, 4, 2, 5, 38, 24, 65, 62, 63, 69, 41, 43, 42, 49, 40, 100, 97, 98, 39, 104, 103, 44, 107]",dynamic,0.01,true
29,[0.1],[29],static,0.01,false
30,[0.1],[30],dynamic,0.01,false
30,[0.1],[30],static,0.01,false
