ArrayTaskID,inertia_values,freq_bounds,failure_modes,beta,k,N_nodes,K,gamma,tau,alpha,init_pert,sigma,mu,graph_seed,distr_seed,filepath
1,0.2,0.02,"[:dynamic, :dynamic]",0.1,4,100,6,1,1,0.7,line,1,0,1,1,<filepath>
2,0.7,0.02,"[:dynamic, :dynamic]",0.1,4,100,6,1,1,0.7,line,1,0,1,1,<filepath>
3,0.2,0.08,"[:dynamic, :dynamic]",0.1,4,100,6,1,1,0.7,line,1,0,1,1,<filepath>
4,0.7,0.08,"[:dynamic, :dynamic]",0.1,4,100,6,1,1,0.7,line,1,0,1,1,<filepath>
5,0.2,0.02,"[:dynamic, :none]",0.1,4,100,6,1,1,0.7,line,1,0,1,1,<filepath>
6,0.7,0.02,"[:dynamic, :none]",0.1,4,100,6,1,1,0.7,line,1,0,1,1,<filepath>
7,0.2,0.08,"[:dynamic, :none]",0.1,4,100,6,1,1,0.7,line,1,0,1,1,<filepath>
8,0.7,0.08,"[:dynamic, :none]",0.1,4,100,6,1,1,0.7,line,1,0,1,1,<filepath>
9,0.2,0.02,"[:none, :dynamic]",0.1,4,100,6,1,1,0.7,line,1,0,1,1,<filepath>
10,0.7,0.02,"[:none, :dynamic]",0.1,4,100,6,1,1,0.7,line,1,0,1,1,<filepath>
11,0.2,0.08,"[:none, :dynamic]",0.1,4,100,6,1,1,0.7,line,1,0,1,1,<filepath>
12,0.7,0.08,"[:none, :dynamic]",0.1,4,100,6,1,1,0.7,line,1,0,1,1,<filepath>
13,0.2,0.02,"[:dynamic, :dynamic]",0.5,4,100,6,1,1,0.7,line,1,0,5,5,<filepath>
14,0.7,0.02,"[:dynamic, :dynamic]",0.5,4,100,6,1,1,0.7,line,1,0,5,5,<filepath>
15,0.2,0.08,"[:dynamic, :dynamic]",0.5,4,100,6,1,1,0.7,line,1,0,5,5,<filepath>
16,0.7,0.08,"[:dynamic, :dynamic]",0.5,4,100,6,1,1,0.7,line,1,0,5,5,<filepath>
17,0.2,0.02,"[:dynamic, :none]",0.5,4,100,6,1,1,0.7,line,1,0,5,5,<filepath>
18,0.7,0.02,"[:dynamic, :none]",0.5,4,100,6,1,1,0.7,line,1,0,5,5,<filepath>
19,0.2,0.08,"[:dynamic, :none]",0.5,4,100,6,1,1,0.7,line,1,0,5,5,<filepath>
20,0.7,0.08,"[:dynamic, :none]",0.5,4,100,6,1,1,0.7,line,1,0,5,5,<filepath>
21,0.2,0.02,"[:none, :dynamic]",0.5,4,100,6,1,1,0.7,line,1,0,5,5,<filepath>
22,0.7,0.02,"[:none, :dynamic]",0.5,4,100,6,1,1,0.7,line,1,0,5,5,<filepath>
23,0.2,0.08,"[:none, :dynamic]",0.5,4,100,6,1,1,0.7,line,1,0,5,5,<filepath>
24,0.7,0.08,"[:none, :dynamic]",0.5,4,100,6,1,1,0.7,line,1,0,5,5,<filepath>
25,0.2,0.02,"[:dynamic, :dynamic]",0.9,4,100,6,1,1,0.7,line,1,0,6,6,<filepath>
26,0.7,0.02,"[:dynamic, :dynamic]",0.9,4,100,6,1,1,0.7,line,1,0,6,6,<filepath>
